WELL,DEPTH_MD,GROUP,FORMATION,CALI,RDEP,RHOB,GR,NPHI,PEF,DTC,LITH,
15/9-15,1150.712,HORDALAND GP.,Utsira Fm.,17.356458664,1.7280267477000002,2.0213315487,63.439628601,0.5465470552,2.2644565105,129.57086182,Shale,
15/9-15,1151.016,HORDALAND GP.,Utsira Fm.,17.252223969,1.7007955313,2.0048904419,66.613990784,0.4986175895,2.2254779339,135.12599182,Shale,
15/9-15,1154.208,HORDALAND GP.,Utsira Fm.,17.530118942,1.5526566505,1.9998869896,65.479858398,0.5949314237,2.1896886826,138.36450195,Shale,
15/9-15,1156.64,HORDALAND GP.,Utsira Fm.,17.611181259000002,1.4286267757,2.003916502,56.387950897,0.5508722663000001,2.360178709,140.35137939,Shale,
15/9-15,1157.096,HORDALAND GP.,Utsira Fm.,17.717256545999998,1.4376174212,2.011131525,64.013442993,0.5666915774,2.281308651,141.19488525,Shale,
15/9-15,1163.48,HORDALAND GP.,Utsira Fm.,17.564790726,1.4618074894,1.9363796711,61.189846039,0.7331521511,2.1828458309,142.16436768,Shale,
15/9-15,1164.24,HORDALAND GP.,Utsira Fm.,17.686639786,1.3923447132,1.9529542923,58.957450867,0.606261611,2.3191375732,143.52493286,Shale,
15/9-15,1164.392,HORDALAND GP.,Utsira Fm.,17.799432755,1.3929489851,1.950830698,60.436912537,0.576990962,2.2993450165,143.94094849,Shale,
15/9-15,1165.76,HORDALAND GP.,Utsira Fm.,17.632484436,1.5045638084,1.9732151031,63.188674927,0.5407671332,2.2820076942,139.03739929,Shale,
15/9-15,1167.128,HORDALAND GP.,Utsira Fm.,17.606718063,1.4022911787,1.9820744991,66.778686523,0.5870789886,2.3519001007,143.0,Shale,
15/9-15,1167.5839999999998,HORDALAND GP.,Utsira Fm.,17.731868744,1.4003216028,2.0117032528,64.173171997,0.5996180177,2.4058675766,142.75787354,Shale,
15/9-15,1168.8,HORDALAND GP.,Utsira Fm.,17.418560027999998,1.4380967616999998,2.0006742477,67.852760315,0.584444046,2.4737458229,141.73194885,Shale,
15/9-15,1171.536,HORDALAND GP.,Utsira Fm.,17.696937561,1.3955798149,2.000556469,65.455200195,0.5528527498,2.3556919098,143.06791687,Shale,
15/9-15,1173.512,HORDALAND GP.,Utsira Fm.,17.415998459,1.3770365715,1.9983706474,71.224464417,0.5948137641,2.3330793381,141.30708313,Shale,
15/9-15,1174.576,HORDALAND GP.,Utsira Fm.,17.469009399,1.4452627897,1.986995697,61.187847137,0.5777866244,2.3951380253,138.25558472,Shale,
15/9-15,1174.728,HORDALAND GP.,Utsira Fm.,17.438425064,1.4785877466,1.9848231077,60.894176483,0.5737480521,2.3555116653,138.36875916,Shale,
15/9-15,1175.792,HORDALAND GP.,Utsira Fm.,17.992986679,1.4477007388999998,1.9805272818,65.75924682600001,0.6077148914,2.4668707848,140.96260071,Shale,
15/9-15,1176.552,HORDALAND GP.,Utsira Fm.,17.85764122,1.4202623366999998,1.9773763418,63.035083771,0.5968857408,2.5173687935,143.6889801,Shale,
15/9-15,1176.704,HORDALAND GP.,Utsira Fm.,17.967906952,1.4222478867,1.9759714603,60.151988983,0.6211728454,2.5566227436,142.60235596,Shale,
15/9-15,1178.224,HORDALAND GP.,Utsira Fm.,17.60484314,1.4529262781,1.9792453051,71.25149536100001,0.5596945882,2.4423921108,147.71850586,Shale,
15/9-15,1183.24,HORDALAND GP.,Utsira Fm.,18.20240593,1.3930187225,1.9721000195,78.979881287,0.5753500462,2.4770612717,190.27067566,Shale,
15/9-15,1184.304,HORDALAND GP.,Utsira Fm.,17.885215759,1.4376324415,1.9721000195,88.50721740700001,0.5620319843,2.3740963936000004,190.07096863,Shale,
15/9-15,1184.456,HORDALAND GP.,Utsira Fm.,17.96440506,1.4321848154,1.9721000195,87.272743225,0.5337074995000001,2.4663424492,190.11253357,Shale,
15/9-15,1185.976,HORDALAND GP.,Utsira Fm.,18.2390728,1.5648115873,1.9727958441,81.246627808,0.6279117465,2.3880636692,178.77362061,Shale,
15/9-15,1186.888,HORDALAND GP.,Utsira Fm.,17.889356613,1.5894418955,1.9733941555,69.53440856899999,0.6133764982,2.2369208336,174.02067566,Shale,
15/9-15,1191.904,HORDALAND GP.,Utsira Fm.,19.229940414,1.3175992966,1.9767855406,67.518493652,0.5490717292,2.2143580914,179.55151367,Shale,
15/9-15,1193.88,HORDALAND GP.,Utsira Fm.,13.386191368,1.3299926519,1.9781820774,92.707901001,0.5175442696,1.7803851366,148.31660461,Shale,
15/9-15,1195.704,HORDALAND GP.,Utsira Fm.,12.83242321,1.2931447029,1.9695219994,78.059288025,0.5020939708,2.2148237228,145.81660461,Shale,
15/9-15,1197.072,HORDALAND GP.,Utsira Fm.,12.851727486,1.3038771152,1.9723104239,88.876068115,0.5026669502000001,1.7865027188999998,145.44816589,Shale,
15/9-15,1198.288,HORDALAND GP.,Utsira Fm.,13.171587944,1.3776030540000002,1.974473238,93.883872986,0.5027084947,2.0476636887,146.25952148,Shale,
15/9-15,1198.744,HORDALAND GP.,Utsira Fm.,13.129552841,1.387560606,1.9720159769,92.618736267,0.535775125,2.0486207008,143.09120178,Shale,
15/9-15,1199.2,HORDALAND GP.,Utsira Fm.,13.128867149,1.3730785847,1.9579855204,98.511756897,0.4861355126,2.0880639553,143.29232788,Shale,
15/9-15,1201.48,HORDALAND GP.,Utsira Fm.,13.455941199999998,1.2711514235,1.9689743519,92.598960876,0.4850589633,2.3072447777,146.75230408,Shale,
15/9-15,1203.456,HORDALAND GP.,Utsira Fm.,13.618406296,1.3811533451,1.9936782122,88.31204223600001,0.5420079231,2.3004260063,141.49769592,Shale,
15/9-15,1205.128,HORDALAND GP.,Utsira Fm.,13.049208641,1.2918447256,1.9971959591,83.63424682600001,0.5021823049,2.1864786148,142.81233215,Shale,
15/9-15,1207.712,HORDALAND GP.,Utsira Fm.,13.296703339,1.2219488621,1.8966517448,99.566062927,0.5025405288,1.8157055378,146.29920959,Shale,
15/9-15,1208.32,HORDALAND GP.,Utsira Fm.,13.48604393,1.2203210592,1.8972176313,94.439743042,0.4904525876,1.6266412735,143.15272522,Shale,
